PIT	Length	Weight	Tank	Sex	Site
915698	490	1416	2	M	1
915700	480	1838	2	M	1
917384	405	1096	2	U	1
918394	460	1255	2	U	1
917788	365	599	2	U	1
915663	395	844	2	U	1
917340	470	1993	2	U	1
917409	445	1305	2	U	1
919070	435	1018	2	U	1
919524	465	1631	2	M	1
919345	465	1851	2	U	1
916945	435	1382	2	U	1
918344	450	1264	2	M	1
918333	455	1346	2	U	1
919869	430	1327	2	U	1
916685	485	1811	2	M	1
916080	395	1051	2	U	1
916880	345	502	2	U	1
918869	505	2140	2	U	1
916837	415	1008	2	U	1
917525	435	1504	2	U	1
917905	420	921	2	U	1
918888	495	2120	2	M	1
918343	450	1875	2	U	1
915753	480	1476	2	U	1
917811	460	1639	2	U	1
918606	435	1023	2	U	1
916391	480	1689	2	M	1
919887	430	1417	2	M	1
916697	475	1669	2	U	1
919521	525	2561	2	M	1
916745	450	1406	2	U	1
917326	440	1383	2	U	1
919655	510	2108	2	M	1
919591	510	2501	2	M	1
919915	380	1250	2	U	1
920561	465	1468	2	U	1
916428	505	1441	2	U	1
915724	405	1001	2	U	1
916217	460	1462	2	M	1
917590	440	1023	2	U	1
915999	465	1669	2	U	1
917540	455	1397	2	M	1
919480	465	1629	2	U	1
920168	525	2716	4	M	2
917784	440	1196	4	U	2
916465	550	2953	4	M	2
920094	480	1973	4	U	2
918744	535	2380	4	U	2
919837	505	2452	4	U	2
918962	475	1900	4	U	2
919741	455	1644	4	U	2
919779	430	967	4	U	2
920459	420	1039	4	U	2
919931	455	2162	4	U	2
916307	520	2613	4	U	2
916388	515	2191	4	M	2
918952	445	1348	4	U	2
916790	425	1088	4	U	2
917090	485	1820	4	U	2
920433	370	744	4	U	2
920133	480	1964	4	U	2
916731	485	2200	4	U	2
918661	475	1660	4	U	2
916916	480	2259	4	U	2
919534	525	2286	4	M	2
919454	530	2629	4	M	2
919262	460	2004	4	U	2
918527	485	1595	4	U	2
915582	450	1752	4	U	2
916558	460	1494	4	U	2
918698	505	2487	4	M	2
916795	485	1968	4	U	2
919688	435	1540	4	U	2
919142	550	3712	4	U	2
920541	480	1852	4	U	2
919245	545	2430	4	M	2
920480	545	2829	4	U	2
918440	535	2287	4	M	2
919325	525	2830	4	U	2
917025	465	1606	4	U	2
918282	415	1230	4	U	2
915587	465	1594	4	U	2
920369	450	1519	4	U	2
917019	315	388	4	U	2
918365	530	2740	4	U	2
920321	450	1261	2	U	1
916052	500	1963	2	U	1
919494	490	1672	2	M	1
919906	490	1615	2	M	1
917703	435	1383	2	M	1
916183	465	1380	2	U	1
