Animal_Id;Location;Line;Weight_initial;Weight_final;Length_initial;Length_final
10975395;Kunduchi;Utete;28.94;57.3;9.9;11.8
10975150;Kunduchi;Utete;36.23;91;10.9;13.8
10975269;Kunduchi;Utete;29.41;76.9;10;13
10975591;Kunduchi;Utete;22.86;80.2;9.5;13.5
10974889;Kunduchi;Utete;22.7;69.9;9;12
10974701;Kunduchi;Utete;26.49;0;9.8;0
10975414;Kunduchi;Utete;18.31;39;8.6;14.5
10975479;Kunduchi;Utete;30.44;107;10.4;14.5
10974757;Kunduchi;Utete;39.23;70.2;10.6;12.2
10975251;Kunduchi;Utete;31.71;74.2;9.9;13.5
10974931;Kunduchi;Utete;64.44;100.3;12.7;14.5
10975033;Kunduchi;Utete;37.81;114.8;11.1;14.6
10974833;Kunduchi;Utete;37;107.5;10.4;14
10975109;Kunduchi;Utete;25.61;85.3;9.1;12.3
10974834;Kunduchi;Utete;30.03;70.8;9.6;12.5
10975138;Kunduchi;Utete;19.83;60.5;8.8;12
10975593;Kunduchi;Utete;38.46;96.2;10.2;13.6
10975313;Kunduchi;Utete;68.55;94.8;13.1;14.2
10974731;Kunduchi;Utete;80.4;111.8;12.6;14
10974695;Kunduchi;Utete;78.38;144.8;13.2;16
10975537;Kunduchi;Utete;63.61;87.7;12.6;13
10975489;Kunduchi;Utete;46.65;112.3;11.3;15
10975268;Kunduchi;Utete;46.45;159.2;11.3;17
10974711;Kunduchi;Utete;73.32;140;13.2;15.3
10975049;Kunduchi;Utete;67.99;0;12.9;0
10975467;Kunduchi;Utete;46.48;123.3;11.4;15
10974781;Kunduchi;Utete;32.84;0;10.2;0
10975275;Kunduchi;Utete;48.54;91.1;11.3;13.6
10974970;Kunduchi;Utete;37.17;78.7;10.5;13
10974867;Kunduchi;Utete;27.38;63;9.4;12
10975103;Kunduchi;Utete;28.3;73.5;9.6;13
10975145;Kunduchi;Utete;33.7;0;10.2;0
10975243;Kunduchi;Utete;38.98;85;10.6;13.5
10975398;Kunduchi;Utete;49.54;109.4;11.7;15.1
10974669;Kunduchi;Utete;42.68;71.7;10.9;12.5
10974887;Kunduchi;Utete;48.5;79.6;11.5;13
10974844;Kunduchi;Utete;36.84;106.2;11.2;14
10975362;Kunduchi;Utete;30.84;76.6;10.2;13
10974704;Kunduchi;Utete;26.93;84.2;9.6;13.1
10975411;Kunduchi;Utete;32.02;87.7;10.3;14
10975238;Kunduchi;Utete;29.16;82.5;9.9;13
10975149;Kunduchi;Utete;18.65;97.1;8.4;12.1
10974819;Kunduchi;Utete;17.26;82.6;8.1;11
10975079;Kunduchi;Utete;16.36;47.5;8;11
10974884;Kunduchi;Utete;16.69;54.7;8.1;11.6
10974633;Kunduchi;Utete;15.52;43.4;7.8;11
10975056;Kunduchi;Kibasira;72.65;142.3;13.6;16.5
10974876;Kunduchi;Kibasira;92.68;134.5;14.5;16.2
10974895;Kunduchi;Kibasira;73.75;133.4;13.4;15.5
10974706;Kunduchi;Kibasira;24.98;54.5;9.5;12
10974793;Kunduchi;Kibasira;51.99;102.7;12;14.5
10975377;Kunduchi;Kibasira;53.4;95.9;12.2;14
10975222;Kunduchi;Kibasira;24.72;57.7;9.4;11.6
10975436;Kunduchi;Kibasira;37.12;77.1;10.4;12.3
10974649;Kunduchi;Kibasira;23.54;52.8;9.1;11.7
10975563;Kunduchi;Kibasira;22.31;120.3;8.9;15
10975250;Kunduchi;Kibasira;23.44;0;9.2;0
10975354;Kunduchi;Kibasira;15.16;62.7;7.7;12
10975018;Kunduchi;Kibasira;49.85;82.8;11.5;13.7
10975476;Kunduchi;Kibasira;67.47;119.9;12.8;14.5
